OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
PZ-16-43,16-0279LC,050-000152 050-000174,4030 MAIN ST; 4036 MAIN ST,Sports on Tap,4030 & 4036 Main St,Old Hilliard District Plan,OH-MD,Withdrawn 2/9/2017,n/a
PZ-16-45,16-0280LC,050-004080,3455 MILL RUN DR,One Mill Run Container Café,3455 Mill Run Dr,PUD final development plan modification,PUD (Mill Run),Withdrawn 2/10/2017,n/a
PZ-16-46,16-0281LC,050-000147,5231 NORWICH ST,Warnock property,5231 Norwich St,Old Hilliard District Plan,OH-RD,10/13/2016,n/a
PZ-16-47,16-0282LC,050-000222,3606 MAIN ST,Napa Auto Parts,3604 Main St,Sign variance - wall sign,B-2,09/08/2016,n/a
PZ-16-48,16-0283LC,050-005625 050-009191 053-000105 050-011312,6500 SCIOTO DARBY RD; LAMPTON POND DR,The Square at Latham Park,6500 Scioto Darby Rd,Final Plat - Scioto Darby Rd right-of-way and easements,PUD (The Square at Latham Park),10/13/2016,11/14/2016 (16-R-86)
PZ-16-49,16-0284LR,053-000022,,Heritage Preserve - Audubon Avenue right-of-way,Heritage Preserve Subarea C,Final Plat - Audobon Ave right-of-way and Reserve EE,PUD (Heritage Preserve),11/10/2016,12/12/2016 (16-R-100)
PZ-16-50,16-0285LC,050-011249,4266 CEMETERY RD,First Financial Bank,4266 Cemetery Rd,PUD final development plan & sign variance,ash,11/10/2016,n/a
PZ-16-51,16-0286LC,050-008256,4674 BRITTON PW,Mount Carmel Hilliard,4253 Davidson Rd,Final Plat - Davidson-Clara Connector,PUD (Ansmil),11/10/2016,12/12/2016 (16-R-99)
PZ-16-52,16-0287LR,050-000000,Not Found,Dorset Glen,3952 Darby Park Rd,Sign variance - ground signs,R-4,12/08/2016,n/a
PZ-16-53,16-0288LC,050-002405,4489 CEMETARY RD,Aldi,4489 Cemetery Rd,"PUD final development plan, Level ""B"" site plan & sign variance",PUD (Cemetery Road Properties Between Leap & Lacon Roads),12/08/2016,n/a
PZ-16-54,16-0289LC,050-000157,Not Found,Landmark Lofts,5264 Franklin St,Final Plat - Franklin Street & Cemetery Rd right-of-way,PUD (Landmark Lofts),11/10/2016,12/12/2016 (16-R-98)
PZ-16-55,16-0290LC,050-003367,3930 RIDGE MILL RD,OhioHealth,3880 Fishinger Blvd,Sign variance - colors,PUD (Mill Run),12/08/2016,n/a
PZ-16-56,16-0291LC,n/a,,Capital Improvements Program (2017-2021),n/a,Capital Improvements Program (2017-2021),n/a,01/12/2017,n/a
PZ-16-57,16-0292LC,05-003221,,Food Tech,4200 Parkway Ct,"Level ""A"" site plan",M-1,12/21/16 by staff,n/a
PZ-16-58,16-0293LC,050-011438,4311 ANSON DR,Rock City Church,4200 Anson Dr,Extension of time limit,PUD (Ansmil),01/12/2017,n/a
PZ-16-59,16-0294LC,050-003397,4150 LYMAN DR,Pharmaforce Inc.,4150 Lyman Dr,"Level ""B"" site plan minor changes",B-4,02/09/2017,n/a
,16-0295LC,VOID,,VOID,VOID,VOID,VOID,VOID,VOID
PZ-16-60,16-0296LC,050-011419,4890 EDWARDS FARM RD,The Pointe,4178 Davidson Rd,Sign variance - ground signs,PUD (Vision Development),01/12/2017,n/a
PZ-16-61,16-0297LC,n/a,,Mobilitie,various locations within right-of-way,Conditional use - wireless communication facilities,n/a,Incomplete application returned,n/a
PZ-17-1,17-0298LC,050-002092 050-002100 050-001540 050-002081,5499 CONSTITUTION BL; HERITAGE CLUB DR REAR,Ten Pin Alley,5499 Ten Pin Alley (formerly Constitution Blvd),"Level ""B"" site plan & conditional use - bowling alley",B-2,02/09/2017,n/a
PZ-17-2,17-0299LC,050-002080,3750 STURBRIDGE CT,Ashford at Sturbridge,3750 Sturbridge Ct,PUD modification,PUD (Sturbridge Court),02/09/2017,3/27/2017 (17-R-27)
PZ-17-3,17-0300LR,053-000020,,Heritage Preserve Section 2 Phase 4,,Lot split,PUD (Heritage Preserve),02/09/2017,n/a
PZ-17-4,17-0301LR,052-000115 052-000118 052-000119 052-000120,,Tarlton Meadows Section 1,"South side of Hayden Run Rd approximately 1,200 feet west of Cosgray Rd",Final plat,PUD (Buck et al properties),03/09/2017,3/27/2017 (17-R-28)
PZ-17-5,17-0302LR,050-000157,Not Found,Landmark Lofts,5264 Franklin St,Lot split,PUD (Landmark Lofts),03/09/2017,n/a
PZ-17-6,17-0303LC,050-000219,4235 AVERY RD,Circle K,4235 Avery Rd,Sign variance - internal illumination,B-1,03/09/2017,n/a
PZ-17-7,17-0304LC,050-007274,3641 - 3681 FISHINGER BL,"USPG Portfolio Six, LLC property",3641-3681 Fishinger Blvd,Lot split,PUD (Mill Run),03/09/2017,n/a
PZ-17-8,17-0305LC,050-000151 050-003188,MADISON ST; SCIOTO DARBY CRK RD,Hilliard City School District property,West corner of Madison St & Wayne St,Lot split,S1,03/09/2017,n/a
PZ-17-9,17-0306LR,053-000020,,Heritage Preserve PUD Subareas A-1 & C,Eastern end of Switchgrass Ct & south side of Davis Rd,Lot split,PUD (Heritage Preserve),04/13/2017,n/a
PZ-17-13,17-0307LR,053-000020,,Heritage Preserve PUD Subarea A-5,Northwest corner of Davis Rd & Audubon Ave,Lot split,PUD (Heritage Preserve),04/13/2017,n/a
PZ-17-11,17-0308LR,053-000020,,Heritage Preserve PUD Subareas A-3 & C,Western portion of Heritage Preserve PUD,Lot split,PUD (Heritage Preserve),04/13/2017,n/a
PZ-17-12,17-0309LR,053-000020,,Heritage Preserve Section 2 Phase 4,South side of Davis Rd approximately 300 feet west of Audubon Ave (Subarea A-4),Final plat,PUD (Heritage Preserve),04/13/2017,5/22/2017 (17-R-49)
PZ-17-10,17-0310LR,053-000020,,Heritage Preserve Section 2 Phase 6,West side of Audubon Ave & south of Davis Rd (Subarea A-6),PUD modification & Final plat,PUD (Heritage Preserve),06/08/2017,8/28/2017 (17-R-64) (17-R-65)
PZ-17-14,17-0311LR,050-011419,4890 EDWARDS FARM RD,The Pointe,4890 Edwards Farm Rd,Sign variance - temporary sign,PUD (Vision Development),04/13/2017,n/a
PZ-17-15,17-0312LC,050-011438,4311 ANSON DR,Rock City Church,4202 Anson Dr (Ansmil PUD Subarea C7),PUD Final Development Plan modification,PUD (Ansmil),05/11/2017,n/a
PZ-17-16,17-0313LC,050-010046,5001 WILCOX RD,Noor Islamic Cultural Center,5001 Wilcox Rd,PUD Final Development Plan modification,PUD (Silverton Farms),09/14/2017,n/a
PZ-17-17,17-0314LC,050-002838,4100 COLUMBIA ST,Franklin County Fairgrounds,4100 Columbia Street,Sign variance - temporary signs,S-1,05/11/2017,n/a
PZ-17-18,17-0315LC,050-011451 050-011452,4253 DAVIDSON RD,Mount Carmel Hilliard,4700 Britton Pkwy,Sign variance - temporary banner signs,PUD (Ansmil),06/08/2017,n/a
PZ-17-19,17-0316LC,050-002267,3600 PARKWAY LN,INS Robotics,3600 Parkway Ln,"Level ""B"" site plan",M-1,06/08/2017,n/a
PZ-17-20,17-0317LC,050-003175,4000 LYMAN DR,Cummins,4000 Lyman Dr,Sign variance - height & area,B-4,06/08/2017,n/a
PZ-17-21,17-0318LC,050-004375,4251 LEAP RD,"SK Leap Road Owner, LLC",4251 Leap Rd,"Level ""B"" site plan",M-1,06/08/2017,n/a
PZ-17-22,17-0319LC,050-003039 050-003205,4653 TRUEMAN BL; 4643 TRUEMAN BL,Water's Edge,Trueman Blvd,"Level ""A"" site plan",PUD (Soma),,n/a
PZ-17-23,17-0320LC,053-000024,,A.R. Building Co. (Heritage Preserve Apartments),6631 Tanager Ln,PUD modification & PUD Final Development Plan,PUD (Heritage Preserve),08/10/2017,11/27/2017 (17-R-94)
PZ-17-24,17-0321LR,050-000252 050-000364 050-000268,Not Found,Old Hilliard LTD properties,5154 Norwich St,Lot split,OH-RD,08/10/2017,n/a
PZ-17-25,17-0322LC,050-007016,3781 PARK MILL RUN DR,Cam International Market,3781 Park Mill Run Dr,Sign variance - temporary banner sign,PUD (Mill Run),08/10/2017,n/a
PZ-17-26,17-0323LC,052-000159 052-000160,,Tarlton Meadows Section 1,Soutwest corner Hayden Run Rd & Tarlton Blvd,Sign variance - subdivision development sign,PUD (Buck et al properties),08/10/2017,n/a
PZ-17-27,17-0324LC,050-000464 050-000465 050-00466,5398 SCIOTO DARBY RD,Graeter's Ice Cream,Northwest corner Scioto Darby Rd & High School Dr,"Level ""B"" Site Plan, conditional use & sign variance",B-1,11/09/2017,n/a
PZ-17-28,17-0325LC,050-011446,3880 MILL RUN DR,Ohio Health,3880 Fishinger Blvd,Sign variance - temporary banner sign,PUD (Mill Run),08/10/2017,n/a
PZ-17-29,17-0326LC,050-003194,4599 AVERY RD,"Glenmont, Inc. property",4599 Avery Rd,Sign variance - ground sign,R-4,09/14/2017,n/a
PZ-17-30,17-0327LC,050-000002,4115 MAIN ST,Bell Tree Productions,4115 Main St,Sign variance - sandwich board,OH-MD,09/14/2017,n/a
PZ-17-31,17-0328LR,120-001259 120-000335,,Hill Farm properties,7380 Scioto Darby Rd,Rezoning to HCD,R-R,Withdrawn 9/5/2017,n/a
PZ-17-32,17-0329LC,050-000377,5491 SCIOTO DARBY RD,Trio Orthodontics,5491 Scioto Darby Rd,Sign variance - temporary banner sign,B-3,09/14/2017,n/a
PZ-17-33,17-0330LC,050-008256,4674 BRITTON PW,Mount Carmel Hilliard,East side of Britton Pkwy approximately 900 feet south of Davidson Rd,Final Plat - North Clara Circle,PUD (Ansmil),09/14/2017,10/23/2017 (17-R-87)
PZ-17-34,17-0331LC,050-000188 050-000084 050-000035,4055 MAIN ST; NORWICH ST,M&K Investments,4055 Main St,Conditional use - brew pub & place of worship,OH-MD,10/12/2017,n/a
PZ-17-35,17-0332LC,050-011436,4460 MOUNTAIN LAUREL DR 1,Greyson at Hickory Chase apartments,4460 Mountain Laurel Dr,Sign variance - 3 temporary feather banners & 1 sandwich board,PUD (Ansmil),10/12/2017,n/a
PZ-17-36,17-0333LC,050-008256,4674 BRITTON PW,Mount Carmel Health System,4674 Britton Pkwy,"Sign variance - internal illumination, ground sign height & area & masonry base, wall signs, directional signs",PUD (Ansmil),10/12/2017,n/a
PZ-17-37,17-0334LC,050-008254,4501 DAVIDSON RD,Trilogy Health Services,4549 Davidson Rd (4680 Library Way) (Subarea B2),"PUD modification, PUD Final Development Plan & sign variance (115 beds)",PUD (Ansmil),10/12/2017,Denied 2/26/18 ReconsiderationApproved 4/23/18 (18-R-15)
PZ-17-38,17-0335LC,050-003293,4301 LYMAN DR,Arctic Express,4301 Lyman Dr,"Level ""A"" site plan",B-4,10/3/2017 by staff,n/a
PZ-17-39,17-0336LC,050-003731,3690 MAIN ST,Burger King,3690 Main St,Sign variance - wall signs,B-2,11/09/2017,n/a
PZ-17-40,17-0337LR,120-001259 120-000335,,Hill Farm properties,7380 Scioto Darby Rd,Rezoning to HCD,R-R,02/08/2018,Denied 10/22/18 (18-11)
PZ-17-41,17-0338LC,050-005623,6304 - 6356 SCIOTO DARBY RD,Scioto Orthodontics,6358 Scioto Darby Rd,Sign variance - wall signs,PUD (Darby Town Center),11/09/2017,n/a
PZ-17-42,17-0339LC,050-000114,4098 MAIN ST,Bella Capelli Salon & Day Spa,4098 Main St,Sign variance - wall sign,OH-MD,12/14/2017,n/a
PZ-17-43,17-0340LR,052-000118,,Tarlton Meadows Section 2,5295 Tarlton Blvd,Final Plat,PUD (Buck et al properties),12/14/2017,2/12/2018 (18-R-14)
PZ-17-44,17-0341LR,050-010603,5408 EAST VUE DR,Hilliard 30,North side of Riggins Rd approximately 500 feet west of Britton Pwky,PUD Final Development Plan,PUD (Britton Central),12/14/2017,n/a
PZ-17-45,17-0342LC,050-004194,5471 FRAZELL RD,Parkside Community Church,5505 Hyde Park Dr,"Level ""B"" site plan & conditional use - private schoool",R-R,12/14/2017,n/a
PZ-17-46,17-0343LC,050-003728,3687 PARK MILL RUN DR,Road Runner Sports,3687 Park Mill Run Dr,PUD modification & PUD Final Development Plan modification,PUD (Mill Run),12/14/2017,1/22/2018 (18-R-02)
PZ-17-47,17-0344LC,050-009210,4473 - 4485 CEMETARY RD,Crafted Drafts,4485 Cemetery Rd,Sign variance - wall signs,PUD (Cemetery Road Properties Between Leap & Lacon Roads),12/14/2017,n/a
PZ-17-48,17-0345LC,050-0003731,3896 LINDA RD,Burger King,3690 Main St,Sign variance - internal illumination for menu sign,B-2,12/14/2017,n/a
PZ-17-49,17-0346LC,050-003221,4200 PARKWAY CT,RDP Service,4200 Parkway Ct,Sign variance - painted wall sign,M-1,12/14/2017,n/a
PZ-17-50,17-0347LC,050-007016,3781 PARK MILL RUN DR,Cam International Market,,PUD Final Development Plan modification - front elevation,PUD (Mill Run),02/08/2018,n/a
PZ-17-51,17-0348LC,050-000334,MAIN ST,"3626-3680 Main Street Co., LTD",3626 Main St,Conditional use - place of worship,B-2,01/11/2018,n/a
PZ-17-52,17-0349LC,050-011361,Not Found,Avery Pointe,4624 Adams Ln,Sign variance - setback & height,R-4,Denied 1/11/18,n/a
,17-0350LC,050-009210,4473 - 4485 CEMETARY RD,Crafted Drafts,4485 Cemetery Rd,Sign variance - more than 4 colors,PUD (Cemetery Road Properties Between Leap & Lacon Roads),Withdrawn,n/a
PZ-18-1,18-0351LC,050-000044,3987 MAIN ST,Old Hilliard LTD properties,3987 Main St,Old Hilliard District Plan & conditional use,OH-MD,03/08/2018,n/a
PZ-18-2,18-0352LC,050-011432 050-011428,4500 HICKORY CHASE WY; 4615 LIBRARY WY,Columbus Metropolitan Library,4500 Hickory Chase Way,"Sign variance - off-premises sign, more than 4 colors, reduced landscaping",PUD (Ansmil),04/12/2018,n/a
PZ-18-3,18-0353LC,050-011438,4311 ANSON DR,Rock City Church,4311 Anson Dr,"Sign variance - excess wall signage, ground sign base height, off-premises directional sign area",PUD (Ansmil),03/08/2018,n/a
PZ-18-4,18-0354LC,050-000974,3730 - 3736 MAIN ST,Domino's,3730-3736 Main St,"Sign variance - ground sign setback, internal illumination, landscaping, base height",B-2,4/12/2018 Setback/base/landscaping approved. Internal illumination denied.,n/a
PZ-18-5,18-0355LC,050-001322,5038 CEMETERY RD,Stanley Insurance Agency,5038 Cemetery Rd,"Level ""B"" Site Plan",B-3,04/12/2018,n/a
PZ-18-6,18-0356LR,050-003868,4663 CRYSTAL BALL RD,Crystal Lake Apartments,4663 Crystal Ball Dr,Sign variance - ground sign with space between sign and base,PUD,04/12/2018,n/a
PZ-18-7,18-0357LR,053-000020,,Heritage Preserve Section 2 Phase 5,7058 Davis Rd,Lot split & Final Plat,PUD (Heritage Preserve),04/12/2018,4/23/2018 (18-R-37)
PZ-18-8,18-0358LC,050-002266,4000 PARKWAY LN,Sports Imports,4000 Parkway Ln,"Level ""B"" Site Plan",B-4,04/12/2018,n/a
PZ-18-9,18-0359LC,050-002798,3950 LYMAN DR,Tru by Hilton,3950 Lyman Dr,"Level ""B"" Site Plan",B-4,06/14/2018,n/a
PZ-18-10,18-0360LC,050-003176 050-003233 050-003727,4050 BRITTON PW; 4105 LYMAN DR,Innsight Hospitality (TownPlace Suites),4079 Lyman Dr,PUD Concept Plan (Rezoning),B-4,04/12/2018,6/25/2018 (Ord. 18-10)
PZ-18-11,18-0361LR,050-008252,Not Found,Carr Farms PUD,East side of Leppert Rd approximately 200 feet north of Davidson Rd,Extension of PUD Concept Plan for 6 months,PUD (Carr Farms),04/12/2018,n/a
PZ-18-12,18-0362LC,050-002424,4599 CEMETERY RD,S&T Bank,4599 Cemetery Rd,PUD Final Development Plan,PUD (Cemetery Road Properties Between Leap & Lacon Roads),05/10/2018,n/a
PZ-18-13,18-0363LR,050-000173 050-000212,5281 NORTH ST; WAYNE ST,Wilcox residence,5281 North St,Old Hilliard District fence,OH-MD,05/10/2018,n/a
PZ-18-14,18-0364LC,050-0003285,5426 MADISON ST,Avid Hotel,3900 Lyman Dr,PUD Final Development Plan,PUD (Britton/Lyman Redevelopment),06/14/2018,n/a
PZ-18-15,18-0365LR,050-011500,5154 NORWICH ST,Coe residence,5154 Norwich St,Old Hilliard District Plan,OH-RD,05/10/2018,n/a
PZ-18-16,18-0366LC,050-007016,3781 PARK MILL RUN DR,Cam International Market,3781 Park Mill Run Dr,Sign variance - wall signs,PUD (Mill Run),05/10/2018,n/a
PZ-18-17,18-0367LC,050-009927,4105 TRUEMAN BL,The Home Depot,4105 Trueman Blvd,Conditional use - outdoor display,PUD (Soma),05/10/2018,n/a
PZ-18-18,18-0368LR,050-000058,5189 NORWICH ST,Hultin & Jordan residence,5189 Norwich St,Old Hilliard District Plan,OH-RD,05/10/2018,n/a
PZ-18-19,18-0369LC,050-002405,4489 CEMETARY RD,Aldi,4489 Cemetery Rd,PUD final development plan & sign variance,PUD (Cemetery Road Properties Between Leap & Lacon Roads),06/14/2018,n/a
PZ-18-20,18-0370LC,050-003297,4401 LYMAN DR,Cabinets to Go,4401 Lyman Dr,Sign variance - more than 4 colors,B-4,Denied 6/14/2018,n/a
PZ-18-21,18-0371LC,050-000153,4095 MAIN ST,Setterlin property,4095 Main St,Old Hilliard District Plan,OH-MD,Withdrawn 8/3/18,n/a
PZ-18-22,18-0372LC,050-002080,3750 STURBRIDGE CT,The Ashford at Sturbridge,3750 Sturbridge Ct,Sign variance - ground signs,PUD (Sturbridge Court),08/09/2018,n/a
PZ-18-23,18-0373LC,050-000013 050-000067,3950 MAIN ST; 5300 CEMETERY RD,St. James Brats & Craft Festival,3900 Main St 5300 Cemetery Rd,Sign variance - off-premises temporary sandwich board signs,B-3 & B-1,06/14/2018,n/a
PZ-18-24,18-0374LC,050-007563,3880 BROWN PARK DR,Klean-A-Kar,3880 Brown Park Dr,"Level ""A"" site plan - vacuums",B-2,5/30/2018 by staff,n/a
PZ-18-25,18-0375LC,050-002400,4278 AVERY RD,Hilliard Church of Christ,4300 Avery Rd,"Sign variance - ground sign with electronic reader board, internal illumination, more than 4 colors",R-2,10/11/2018,n/a
